,2006-05-09,,0.003859050804749131,,0.986422061920166,,0.00971888191998005
0,2006-05-09,,0.003859050804749131,,0.986422061920166,,0.00971888191998005
1,2006-06-09,,0.89886075258255,,0.0108189657330513,,0.09032027423381805
2,2006-08-15,,0.9838739633560181,,0.004137500189244747,,0.011988448910415173
3,2006-08-27,,0.9843975901603699,,0.003911999054253101,,0.011690428480505943
4,2006-09-10,,0.038412906229496,,0.14722922444343567,,0.8143579363822937
5,2006-09-14,,0.07474558055400848,,0.06752517074346542,,0.8577293157577515
6,2006-10-10,,0.005131562240421772,,0.9740846157073975,,0.020783839747309685
7,2006-10-12,,0.05418175458908081,,0.056754935532808304,,0.8890632390975952
8,2006-10-20,,0.16391940414905548,,0.06822004169225693,,0.7678605914115906
9,2006-10-23,0.20937970280647278,,0.05876234546303749,,0.73185795545578,
10,2006-10-31,,0.9577182531356812,,0.006479232106357813,,0.035802558064460754
11,2006-11-08,,0.04964479058980942,,0.10667982697486877,,0.8436753749847412
12,2006-11-09,,0.970852792263031,,0.005751226097345352,,0.02339603379368782
13,2006-11-15,0.07783620059490204,,0.05657244473695755,,0.8655914068222046,
14,2006-11-20,0.044605135917663574,,0.12188093364238739,,0.8335139155387878,
15,2006-11-21,,0.003672803519293666,,0.9595789909362793,,0.03674810379743576
16,2006-11-22,0.0918239951133728,,0.048749350011348724,,0.8594266176223755,
17,2006-11-23,,0.1123238056898117,,0.04413123056292534,,0.8435449004173279
18,2006-11-28,,0.800977349281311,,0.018841879442334175,,0.18018075823783875
19,2006-12-18,,0.04621800407767296,,0.04663083329796791,,0.9071511626243591
20,2007-01-08,,0.11847595125436783,,0.037632815539836884,,0.8438912630081177
21,2007-01-10,0.9860022068023682,,0.003690796671435237,,0.01030698511749506,
22,2007-02-07,0.020374564453959465,0.4083874821662903,0.48423680663108826,0.03567477688193321,0.49538862705230713,0.5559377670288086
23,2007-02-08,,0.04319828376173973,,0.15767133235931396,,0.7991304397583008
24,2007-02-15,,0.9759806990623474,,0.004557986278086901,,0.019461331889033318
25,2007-02-27,,0.9787911176681519,,0.004920286126434803,,0.016288552433252335
26,2007-03-05,,0.009222069755196571,,0.7576974630355835,,0.23308053612709045
27,2007-03-10,0.057403773069381714,,0.07178206741809845,,0.8708140850067139,
28,2007-03-11,,0.04248477518558502,,0.06652867048978806,,0.8909865617752075
29,2007-03-12,,0.03714507818222046,,0.14555313624441624,,0.8173018097877502
30,2007-03-13,,0.029771197587251663,,0.21627475321292877,,0.7539541125297546
31,2007-03-15,,0.9760416150093079,,0.004488389007747173,,0.01946992613375187
32,2007-03-16,,0.0062861754558980465,,0.9431962370872498,,0.05051765590906143
33,2007-03-27,0.005690791644155979,,0.9302139282226562,,0.06409528851509094,
34,2007-03-29,0.9881746768951416,,0.0042727431282401085,,0.007552603259682655,
35,2007-03-30,,0.04584283381700516,,0.4278934895992279,,0.5262636542320251
36,2007-04-07,,0.01343032531440258,,0.6314736008644104,,0.3550959825515747
37,2007-04-13,,0.44554227590560913,,0.03026304580271244,,0.524194598197937
38,2007-04-24,,0.03547494113445282,,0.07799859344959259,,0.8865264654159546
39,2007-04-25,,0.03863874450325966,,0.06526600569486618,,0.8960952758789062
40,2007-05-01,,0.034645747393369675,,0.060491833835840225,,0.9048624634742737
41,2007-05-02,,0.09298907965421677,,0.09855620004236698,,0.8084547519683838
42,2007-05-03,,0.8144459128379822,,0.017988692969083786,,0.1675654500722885
43,2007-05-05,,0.003469916293397546,,0.9631756544113159,,0.03335434943437576
44,2007-05-06,,0.04931299015879631,,0.04732409119606018,,0.9033628702163696
45,2007-05-10,,0.33082668917874497,,0.3646760232125719,,0.30449729909499484
46,2007-05-11,,0.06483157724142075,,0.043411508202552795,,0.8917569518089294
47,2007-05-13,,0.027617499232292175,,0.7673447132110596,,0.20503780245780945
48,2007-05-18,,0.028822997584939003,,0.3382855951786041,,0.6328913569450378
49,2007-05-25,,0.5821084380149841,,0.032270755618810654,,0.3856208324432373
50,2007-05-31,,0.039708640426397324,,0.22940020263195038,,0.730891227722168
51,2007-06-04,,0.010974048636853695,,0.8591504096984863,,0.1298755556344986
52,2007-06-06,,0.07490260433405638,,0.07608643732964993,,0.8490110039710999
53,2007-06-08,,0.11847595125436783,,0.037632815539836884,,0.8438912630081177
54,2007-06-12,,0.029103143140673637,,0.11625275760889053,,0.8546441197395325
55,2007-06-13,,0.9827385544776917,,0.003802259685471654,,0.013459203764796257
56,2007-06-19,,0.9841331243515015,,0.0038984492421150208,,0.011968409642577171
57,2007-06-20,,0.04963833838701248,,0.06796208769083023,,0.8823995590209961
58,2007-06-27,,0.9234552979469299,,0.009012031368911266,,0.06753266602754593
59,2007-06-28,,0.03707684949040413,,0.06806861609220505,,0.8948545455932617
